file,function,line,suggested_family
R/diccionario_basico.R,crear_diccionario_emociones,8,utilidades
R/diccionario_basico.R,mostrar_diccionario_emociones,33,utilidades
R/diccionario_basico.R,buscar_palabras_diccionario,47,resumen_y_frecuencias
R/modelos_aprendizaje.R,seleccionar_features_tokens,1,utilidades
R/modelos_aprendizaje.R,clusterizar_lexico,6,utilidades
R/modelos_aprendizaje.R,sp_save,95,utilidades
R/modelos_aprendizaje.R,seleccionar_features_tokens,114,utilidades
R/modelos_aprendizaje.R,clusterizar_lexico,151,utilidades
R/modelos_aprendizaje.R,visualizar_mapa_emocional,311,visualizacion
R/modelos_aprendizaje.R,analizar_correlaciones_metodos,393,utilidades
R/modelos_aprendizaje.R,predecir_nivel_sentimiento,458,utilidades
R/modelos_aprendizaje.R,sp_save,514,utilidades
R/modelos_aprendizaje.R,validar_binario_con_split,663,utilidades
R/modelos_aprendizaje.R,sp_save,679,utilidades
R/modelos_aprendizaje.R,thr_opt,759,utilidades
R/modelos_aprendizaje.R,calibrar,766,utilidades
R/modelos_aprendizaje.R,eval_tst,780,utilidades
R/modelos_aprendizaje.R,predecir_nivel_bin,933,utilidades
R/modelos_aprendizaje.R,guardar_artefacto_modelos,961,modelado_supervisado
R/modelos_aprendizaje.R,build_matrix_from_artifact,977,utilidades
R/modelos_aprendizaje.R,predecir_con_artefacto,992,utilidades
R/modelos_aprendizaje.R,evaluar_con_artefacto,1017,utilidades
R/modelos_aprendizaje.R,analizar_coherencia_metodos,1092,utilidades
R/modelos_aprendizaje.R,niv_to_num,1114,utilidades
R/modelos_aprendizaje.R,entrenar_modelo_nivel,1181,modelado_supervisado
R/modelos_aprendizaje.R,extraer_features_emocionales,1253,utilidades
R/modelos_aprendizaje.R,std_names,1259,utilidades
R/modelos_aprendizaje.R,qnum,1302,utilidades
R/modelos_aprendizaje.R,entrenar_modelos_emocionales,1391,modelado_supervisado
R/modelos_aprendizaje.R,sp_save,1401,utilidades
R/modelos_aprendizaje.R,ajustar_regresion_multinomial,1579,utilidades
R/modelos_aprendizaje.R,ajustar_modelo_arboles,1719,modelado_supervisado
R/modelos_aprendizaje.R,error,1777,utilidades
R/modelos_aprendizaje.R,error,1781,utilidades
R/modelos_aprendizaje.R,error,1785,utilidades
R/modelos_aprendizaje.R,error,1789,utilidades
R/modelos_aprendizaje.R,ajustar_red_nn_unificada,1855,utilidades
R/modelos_aprendizaje.R,ajustar_rnn_regresion,1991,utilidades
R/modelos_aprendizaje.R,ajustar_rnn_regresion_torch,2100,utilidades
R/modelos_aprendizaje.R,initialize,2132,utilidades
R/modelos_aprendizaje.R,forward,2136,utilidades
R/modelos_aprendizaje.R,ajustar_svm_multiclase,2220,modelado_supervisado
R/modelos_aprendizaje.R,ajustar_pca_svm,2344,reduccion_dimensional
R/modelos_aprendizaje.R,ajustar_gradient_boosting,2491,utilidades
R/modelos_aprendizaje.R,ajustar_modelo_polinomial,2614,modelado_supervisado
R/modelos_aprendizaje.R,generar_reporte_html,2669,utilidades
R/modelos_aprendizaje.R,esc,2683,utilidades
R/modelos_aprendizaje.R,make_table,2686,utilidades
R/modelos_aprendizaje.R,embed_img,2703,utilidades
R/modelos_aprendizaje.R,normalizar_emociones,2829,utilidades
R/modelos_aprendizaje.R,features_canonicas,2858,utilidades
R/modelos_aprendizaje.R,preparar_features_tokens,2873,utilidades
R/modelos_aprendizaje.R,pca_tokens_plot,2914,reduccion_dimensional
R/modelos_aprendizaje.R,pca_tokens_biplot,3001,reduccion_dimensional
R/modelos_aprendizaje.R,analisis_componentes_general,3218,reduccion_dimensional
R/modelos_aprendizaje.R,analizar_coherencia_metodos,3564,utilidades
R/modelos_aprendizaje.R,map_level,3566,utilidades
R/modelos_aprendizaje.R,guardar_artefacto_modelos,3610,modelado_supervisado
R/modelos_aprendizaje.R,build_matrix_from_artifact,3627,utilidades
R/modelos_aprendizaje.R,predecir_con_artefacto,3647,utilidades
R/modelos_aprendizaje.R,evaluar_con_artefacto,3675,utilidades
R/visualizacion_modelos.R,visualizar_curvas_sentimiento,40,visualizacion
R/visualizacion_modelos.R,localizar_curva,52,utilidades
R/visualizacion_modelos.R,visualizar_emociones_nrc,146,matrices_valoradas
R/visualizacion_modelos.R,visualizar_emociones_nrc,252,matrices_valoradas
R/visualizacion_modelos.R,analizar_tokens_extremos,434,utilidades
R/visualizacion_modelos.R,traducir_tokens,471,utilidades
R/visualizacion_modelos.R,visualizar_coocurrencia_nrc,623,matrices_valoradas
R/visualizacion_modelos.R,visualizar_coocurrencia_nrc_v2,806,matrices_valoradas
R/visualizacion_modelos.R,graficar_pca_emociones,1051,reduccion_dimensional
R/visualizacion_modelos.R,graficar_emociones_agrupadas,1263,visualizacion
