"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"1",0,1,2,1,0,0,0,1,2,1
"2",2,1,1,2,0,2,0,3,2,3
"3",0,0,0,2,0,2,0,0,2,1
"4",2,1,1,2,0,1,0,2,1,2
"5",1,0,1,2,0,3,2,1,2,1
"6",0,0,0,0,0,0,0,0,0,0
"7",0,1,0,1,0,0,1,2,1,1
"8",1,0,0,1,0,1,0,0,1,0
"9",2,1,1,2,0,2,0,3,2,3
"10",1,0,0,1,0,1,0,0,1,1
"11",0,0,0,0,0,0,0,0,0,0
"12",0,2,0,0,1,0,1,1,0,2
"13",0,0,0,0,0,1,0,0,2,1
"14",2,1,2,2,1,2,1,1,2,1
"15",0,0,0,0,0,0,0,0,0,0
"16",1,2,0,1,0,1,0,1,2,2
"17",0,1,2,1,0,0,0,1,2,1
"18",0,3,0,0,3,0,1,2,0,4
"19",0,0,0,1,0,0,0,1,0,1
"20",1,0,0,1,0,0,0,1,1,2
"21",0,0,0,1,0,0,0,1,0,1
"22",0,1,0,0,1,0,1,2,0,2
"23",1,0,0,1,0,1,0,3,1,3
"24",2,1,1,2,0,0,0,1,2,1
"25",0,1,0,1,0,1,0,1,1,1
"26",0,3,0,1,2,2,1,2,3,3
"27",2,1,0,2,0,2,0,1,3,1
"28",0,0,0,1,0,0,0,1,0,1
"29",2,1,1,2,0,2,0,3,2,3
"30",2,1,1,2,0,2,0,3,2,3
"31",2,1,1,2,0,2,0,3,2,3
"32",1,0,0,0,0,0,0,0,1,0
"33",0,2,0,0,1,0,0,3,0,4
"34",0,0,0,0,0,0,0,0,0,1
"35",0,1,0,0,0,0,0,0,0,0
"36",1,0,0,1,0,1,0,3,1,3
"37",2,1,1,2,0,2,0,3,2,3
"38",1,0,0,1,0,1,0,3,1,3
"39",1,0,0,1,0,1,0,3,1,3
"40",1,0,1,1,0,1,0,0,2,0
"41",0,0,0,0,0,0,0,0,0,0
"42",0,0,0,0,0,0,0,0,0,0
"43",1,1,0,1,0,0,0,0,1,2
"44",0,1,0,0,0,0,0,0,0,0
"45",0,1,0,0,0,0,0,1,0,0
"46",0,1,0,0,0,0,0,0,1,3
"47",0,1,0,0,1,0,1,1,1,2
"48",1,0,0,1,0,1,0,0,1,0
"49",0,0,1,0,0,0,0,0,2,0
"50",1,1,0,0,0,1,0,0,2,1
"51",0,0,0,0,0,0,0,0,0,0
