"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"1",0,1,0,0,1,0,1,1,0,4
"2",0,1,0,0,1,0,1,1,0,1
"3",0,1,0,0,1,1,0,1,1,3
"4",0,1,0,1,0,0,0,0,0,1
"5",0,0,0,0,0,0,0,0,0,1
"6",0,0,0,0,0,0,0,2,0,2
"7",0,1,0,1,0,0,0,0,1,2
"8",0,0,0,0,3,1,0,1,0,4
"9",0,0,1,1,0,1,1,0,2,0
"10",0,0,0,0,0,0,0,0,0,0
"11",0,0,0,1,1,0,0,0,1,0
"12",0,0,0,0,0,0,0,0,0,1
"13",0,0,0,0,0,0,0,0,0,0
"14",0,0,0,0,1,0,0,0,0,1
"15",0,1,0,0,1,1,0,1,1,3
"16",0,0,0,0,0,0,0,0,0,0
"17",1,0,1,1,0,1,0,0,1,0
"18",0,0,0,0,0,0,0,0,0,0
"19",0,1,0,0,1,1,0,1,1,3
"20",0,1,0,0,1,1,0,1,1,3
"21",0,0,0,0,0,0,0,0,0,0
"22",0,1,0,0,1,1,0,1,1,3
"23",0,0,0,0,0,0,0,2,0,3
"24",0,1,0,0,0,0,0,4,0,3
"25",0,1,0,0,0,0,0,1,1,3
"26",0,1,0,0,1,0,0,1,0,1
"27",0,1,0,0,1,0,1,1,0,4
"28",0,0,0,0,0,0,0,2,0,2
"29",0,1,0,0,1,1,0,1,1,3
"30",0,0,1,0,0,1,0,0,1,0
"31",2,2,0,2,1,2,1,1,2,1
"32",0,1,0,0,0,0,0,1,1,3
"33",0,1,0,0,0,0,0,2,0,2
"34",0,0,0,0,0,0,0,2,0,2
"35",0,1,0,0,1,0,0,1,0,2
"36",0,0,0,0,0,1,0,0,1,0
"37",0,0,0,0,0,0,0,0,0,1
"38",0,1,0,0,1,0,0,1,0,2
"39",0,0,0,0,0,0,0,0,0,0
"40",0,1,0,0,1,0,0,2,1,3
"41",0,0,0,0,0,0,0,0,0,1
"42",0,1,0,0,1,1,0,1,1,3
"43",1,1,0,1,0,2,0,1,3,0
"44",1,1,0,2,1,1,1,1,2,2
"45",0,1,0,0,0,0,0,2,0,2
"46",0,3,1,0,1,0,1,2,1,2
"47",0,0,0,0,0,0,0,0,0,1
"48",1,0,0,0,0,0,0,0,1,0
"49",0,0,0,1,1,1,1,1,1,1
"50",0,0,0,0,0,0,0,0,0,0
"51",0,0,1,0,0,1,0,0,1,0
"52",0,1,0,0,1,0,0,1,0,2
"53",0,0,1,0,0,1,1,0,2,0
"54",0,1,0,1,0,0,0,0,0,1
"55",0,1,0,0,1,0,0,1,0,1
"56",1,1,0,0,1,1,1,1,2,1
"57",0,1,0,0,1,1,0,1,1,3
"58",1,1,0,0,1,1,1,1,2,1
"59",0,1,0,0,1,0,0,0,0,2
"60",0,0,0,0,0,0,0,0,0,0
"61",0,0,0,0,1,0,0,0,0,2
"62",0,1,0,0,0,0,0,3,0,3
"63",0,0,0,0,1,0,0,1,1,3
"64",0,1,0,0,1,0,0,1,0,1
"65",1,1,2,1,1,2,1,2,2,2
"66",0,0,0,0,0,0,0,0,0,0
"67",1,1,2,1,1,2,1,2,2,2
"68",1,1,0,1,1,1,2,2,3,3
"69",0,0,0,0,1,0,1,1,0,1
"70",0,0,0,0,0,0,0,1,0,1
"71",1,1,2,1,1,2,1,1,2,1
"72",0,0,0,0,1,0,1,1,0,1
"73",0,2,0,1,1,1,1,0,2,2
"74",0,0,0,0,1,0,0,0,0,1
"75",0,0,0,0,0,0,0,0,0,0
"76",0,1,0,0,0,0,0,1,1,3
"77",0,1,0,0,1,0,0,1,0,1
"78",0,1,0,0,0,0,0,0,0,0
"79",0,0,0,0,0,0,0,0,0,0
"80",0,0,0,0,0,0,0,0,1,0
"81",0,0,0,0,0,0,0,0,0,1
"82",0,0,0,0,0,0,0,0,0,0
"83",0,0,0,0,1,0,0,0,0,1
