"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"1",0,1,0,2,0,2,0,2,3,1
"2",0,0,0,0,0,0,0,0,0,0
"3",0,1,0,1,1,0,1,2,1,2
"4",1,1,0,2,0,1,0,0,2,1
"5",1,1,0,0,0,0,1,2,0,2
"6",0,2,0,0,0,0,0,0,0,0
"7",0,2,0,0,0,0,0,3,2,3
"8",1,0,0,1,0,1,0,0,1,0
"9",1,0,1,1,0,2,0,0,2,0
"10",2,3,1,2,2,1,3,1,2,3
"11",0,0,0,0,0,0,0,1,0,2
"12",1,1,1,1,1,1,0,1,1,2
"13",1,1,1,2,0,2,1,0,2,0
"14",0,0,1,3,0,3,0,1,4,0
"15",0,1,0,0,1,0,0,1,0,1
"16",1,2,1,2,2,1,2,2,2,2
"17",1,0,0,1,0,0,0,0,1,0
"18",0,1,1,1,3,1,1,4,1,4
"19",0,0,0,0,0,1,0,0,1,0
"20",0,0,0,0,0,0,0,1,0,2
"21",1,0,0,1,0,1,0,0,2,0
"22",2,0,0,2,0,2,1,0,3,0
"23",0,0,0,0,0,0,0,1,0,1
"24",0,1,0,0,0,0,1,0,1,1
"25",1,0,0,1,0,1,0,1,3,1
"26",1,0,0,0,0,1,0,0,3,1
"27",0,0,0,0,0,0,0,0,0,0
"28",1,1,0,1,0,2,1,2,2,3
"29",0,0,0,0,0,0,0,0,0,0
"30",0,0,0,0,0,0,0,1,0,0
"31",1,1,1,3,0,3,1,1,4,2
"32",0,0,0,0,1,0,0,1,0,2
"33",0,0,0,0,0,0,0,0,0,0
"34",0,0,0,0,0,0,0,0,0,1
"35",0,1,0,0,1,0,0,1,0,1
"36",1,0,0,1,0,1,0,0,2,0
"37",1,0,0,2,0,4,0,0,4,0
"38",0,2,0,1,1,1,2,1,2,1
"39",0,2,0,1,0,0,0,1,1,3
"40",0,0,1,0,0,0,0,0,1,0
"41",0,0,0,0,0,0,0,0,0,0
"42",2,0,1,2,0,2,1,0,3,0
"43",1,0,1,0,0,1,0,0,1,0
"44",0,1,0,0,1,0,0,2,0,2
"45",0,0,0,0,0,0,0,0,0,0
"46",3,1,1,3,0,1,1,0,4,0
"47",0,1,0,0,0,0,0,2,0,1
"48",1,0,0,1,0,1,1,1,1,0
"49",2,0,2,1,0,1,0,0,2,0
"50",1,3,1,2,1,2,0,2,3,2
"51",0,1,0,1,0,0,0,0,0,0
"52",0,2,0,0,2,0,0,1,0,2
"53",0,0,0,0,0,0,0,0,0,0
"54",4,0,4,3,0,1,1,1,5,1
"55",0,0,1,0,0,0,0,0,1,0
"56",1,1,2,1,0,1,1,0,2,2
"57",0,1,1,0,0,0,0,0,1,2
"58",0,1,0,1,1,0,0,1,1,1
"59",0,0,0,0,0,0,0,0,0,0
"60",0,0,0,0,0,0,0,0,0,0
"61",0,0,0,0,1,0,0,1,0,1
"62",0,0,0,1,0,1,0,2,0,2
"63",1,1,1,1,0,2,1,0,1,0
"64",1,1,0,1,1,1,0,0,2,2
"65",1,1,0,3,1,2,1,2,3,3
"66",0,0,0,0,1,0,0,1,0,2
"67",0,0,0,0,0,0,0,0,0,0
"68",1,0,1,2,0,2,0,0,2,0
"69",0,1,0,1,2,0,1,5,0,5
"70",0,0,0,1,0,0,0,0,1,1
"71",0,1,0,0,1,0,1,1,1,2
"72",1,1,1,1,1,1,1,2,1,3
"73",1,3,0,1,1,2,1,2,2,4
