"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"1",2,1,0,0,1,0,1,1,1,1
"2",2,3,1,1,1,0,1,1,1,1
"3",0,1,0,0,0,0,0,2,0,4
"4",1,0,1,0,0,0,0,0,1,0
"5",3,0,5,3,0,4,0,1,7,2
"6",1,0,0,1,0,0,0,0,2,0
"7",3,1,1,3,0,0,0,0,3,0
"8",2,3,1,1,1,0,1,1,1,1
"9",0,0,0,0,0,0,0,1,0,0
"10",3,3,0,2,1,1,1,1,1,2
"11",2,2,1,2,3,1,1,3,1,3
"12",1,1,0,0,0,0,0,0,1,2
"13",1,1,0,0,1,0,1,4,0,3
"14",1,1,0,0,1,0,1,3,0,1
"15",0,1,0,0,0,0,0,2,0,4
"16",0,1,0,2,0,0,0,2,2,2
"17",0,1,0,0,0,0,0,2,0,4
"18",1,3,0,2,2,1,2,2,1,4
"19",0,2,0,0,1,0,0,2,0,2
"20",0,0,0,1,1,0,1,1,0,1
"21",2,2,2,1,1,1,2,2,4,2
"22",0,0,0,1,1,0,0,3,0,3
"23",0,1,0,0,1,0,0,2,0,3
"24",1,2,0,1,1,0,1,3,0,2
"25",2,3,1,1,1,0,1,1,1,1
"26",5,1,2,2,1,2,1,1,6,1
"27",2,3,1,1,1,0,1,1,1,1
"28",3,0,5,3,0,4,0,1,7,2
"29",3,1,1,3,0,0,0,0,3,0
"30",0,0,0,0,0,0,0,0,0,0
"31",2,1,1,1,3,1,1,2,0,4
"32",0,0,1,0,0,0,0,3,0,2
"33",0,0,0,1,0,1,0,0,1,1
"34",0,0,0,0,0,0,0,0,0,0
"35",0,0,1,1,0,1,0,1,3,1
"36",1,1,0,0,1,0,1,1,0,2
"37",0,1,0,0,1,0,0,2,0,3
"38",0,1,0,0,0,0,0,2,0,4
"39",0,0,0,0,0,0,0,0,0,0
"40",0,0,0,0,0,0,0,2,0,1
"41",0,0,0,0,0,0,0,1,0,1
"42",1,1,0,0,1,0,1,1,0,2
"43",1,1,0,0,1,0,1,1,0,2
"44",2,2,0,2,2,1,2,3,2,2
"45",0,0,0,0,0,0,1,1,0,1
"46",1,0,0,0,0,0,1,0,2,2
"47",0,0,0,1,0,1,0,0,1,0
"48",0,0,0,0,0,0,0,1,0,0
"49",0,0,0,0,0,0,0,0,0,0
"50",2,1,0,0,1,0,1,1,1,1
"51",0,1,0,2,0,0,0,2,2,2
"52",0,0,0,0,0,0,0,0,0,0
"53",4,3,2,3,3,2,1,5,2,4
"54",2,1,0,1,1,1,1,3,1,2
"55",0,2,0,2,0,1,0,0,3,1
"56",1,1,0,0,1,0,1,1,0,2
"57",1,2,0,1,1,0,1,3,0,2
"58",1,1,0,2,0,1,1,3,2,2
"59",0,2,0,0,1,0,1,3,0,2
"60",1,2,0,0,1,0,1,4,0,5
"61",1,1,0,2,1,1,1,1,2,1
"62",2,1,0,0,1,0,1,1,1,1
"63",0,0,0,0,0,0,0,0,0,0
"64",0,0,0,0,0,0,0,0,0,0
"65",1,2,0,0,2,0,1,2,0,2
"66",0,0,0,1,0,1,0,1,1,2
"67",2,1,0,2,1,1,1,1,2,2
"68",2,1,0,2,0,0,0,1,2,1
"69",0,0,0,0,0,0,0,0,1,2
"70",1,0,0,0,0,0,0,2,0,3
"71",2,1,0,0,1,0,1,1,1,1
"72",2,1,0,0,1,0,1,1,1,1
"73",0,1,0,1,1,1,1,1,1,1
"74",0,0,1,0,0,0,0,3,0,2
"75",1,0,1,0,0,0,0,0,1,0
"76",1,1,0,0,1,0,1,1,0,2
"77",1,0,1,0,0,0,0,0,1,0
"78",1,1,0,0,1,0,1,3,0,2
"79",0,0,0,0,0,0,0,0,0,1
"80",0,0,0,0,1,0,0,0,0,1
"81",0,0,0,0,0,0,0,0,0,0
"82",0,0,0,0,0,0,0,0,0,0
"83",0,2,0,2,0,1,0,0,3,1
"84",0,0,0,0,0,0,0,0,0,0
"85",1,0,1,0,0,0,0,0,1,0
"86",1,0,0,2,0,1,0,2,1,3
"87",2,2,0,2,2,1,2,3,2,2
"88",1,1,0,0,1,0,1,1,0,2
"89",1,1,0,0,1,0,1,3,0,2
"90",0,0,1,1,0,1,0,1,2,1
"91",1,0,0,2,1,3,0,1,3,1
"92",0,0,0,0,0,0,0,0,0,0
"93",1,1,0,2,0,1,1,3,2,2
"94",4,2,0,0,2,1,3,3,2,2
"95",0,0,2,0,0,0,0,1,1,0
"96",2,1,0,1,1,1,1,1,1,2
"97",2,2,1,3,2,1,1,2,3,2
"98",1,1,1,0,0,0,0,0,1,0
"99",3,3,0,2,1,1,1,1,1,2
"100",0,0,0,0,0,0,0,0,0,0
"101",2,2,2,1,1,1,2,2,4,2
"102",1,1,1,0,0,0,0,0,1,0
"103",3,2,0,1,1,1,1,4,3,3
"104",0,0,0,0,0,0,0,0,0,0
"105",0,0,0,1,0,1,0,1,1,1
"106",0,0,0,0,0,0,0,1,0,0
"107",0,1,0,0,1,0,0,2,0,3
"108",1,1,0,0,1,0,1,1,1,2
"109",0,0,0,0,0,0,0,0,0,0
"110",1,1,1,1,1,0,1,1,1,1
"111",0,0,0,0,1,1,0,2,1,1
"112",2,2,1,2,3,1,1,3,1,3
"113",2,1,0,0,1,0,1,1,1,1
"114",0,0,0,0,0,0,0,0,0,0
"115",0,0,0,0,0,0,0,2,0,1
"116",0,0,0,0,0,0,0,1,0,0
"117",0,1,0,0,0,0,0,0,0,1
"118",0,0,0,0,0,0,0,0,0,0
"119",0,2,0,0,1,0,0,2,0,2
"120",0,0,0,0,0,0,0,2,1,2
"121",0,0,0,0,0,0,0,0,0,0
"122",0,0,0,0,0,0,0,0,0,0
"123",2,1,1,1,2,1,1,3,1,3
"124",1,2,0,0,2,0,2,2,0,4
"125",3,0,5,3,0,4,0,1,7,2
"126",2,3,1,1,1,0,1,1,1,1
"127",0,0,0,0,0,0,0,0,0,0
"128",2,1,1,1,2,1,1,3,1,3
"129",1,1,1,0,0,0,0,0,1,0
"130",1,1,1,1,1,0,1,1,1,1
"131",1,1,0,0,2,0,1,2,0,2
"132",1,0,1,1,0,1,0,0,1,0
"133",1,0,1,1,0,0,0,0,1,0
"134",1,1,0,0,1,0,1,3,0,2
"135",0,0,0,0,0,0,0,1,0,0
"136",0,0,0,0,0,0,0,0,1,1
"137",1,0,1,1,0,0,0,0,1,0
"138",3,0,5,3,0,4,0,1,7,2
"139",0,0,0,0,0,0,0,1,0,1
"140",1,0,0,1,0,1,0,1,1,1
"141",1,1,0,0,1,1,1,1,2,1
