"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"1",1,0,0,1,0,1,1,1,2,1
"2",1,0,0,1,0,1,0,1,1,1
"3",0,0,0,1,1,1,0,3,4,2
"4",0,2,0,0,1,0,1,4,1,5
"5",2,0,2,3,0,1,0,2,7,1
"6",0,0,0,0,0,0,0,2,1,1
"7",0,1,0,1,1,0,0,1,1,3
"8",0,0,0,2,0,2,0,1,4,1
"9",0,0,0,1,1,1,0,3,4,2
"10",2,0,1,1,0,1,0,0,3,1
"11",2,2,1,2,0,1,0,0,5,1
"12",0,0,0,0,0,0,0,0,0,0
"13",0,1,0,1,1,0,0,1,1,3
"14",0,0,0,2,0,2,0,1,4,1
"15",0,2,0,2,1,0,1,2,3,1
"16",0,1,0,0,1,0,0,0,1,1
"17",1,0,0,0,0,0,0,0,2,0
"18",0,1,0,1,1,0,0,1,1,3
"19",0,2,0,2,1,0,1,2,3,1
"20",0,2,1,0,1,1,0,1,2,2
"21",0,0,0,0,0,0,0,1,1,1
"22",2,0,2,3,0,1,0,2,7,1
"23",0,0,0,0,1,0,0,2,1,2
"24",0,0,0,1,0,0,0,0,0,1
"25",0,0,0,1,0,0,0,0,0,1
"26",1,0,0,1,0,1,1,1,2,1
"27",0,0,0,1,1,1,0,2,3,2
"28",0,1,0,1,0,1,0,2,2,3
"29",0,1,0,1,1,0,0,1,1,3
"30",0,2,0,2,1,0,1,2,3,1
"31",0,0,0,1,0,0,0,0,0,1
"32",2,0,2,3,0,1,0,0,4,0
"33",3,1,3,4,0,2,0,0,5,0
"34",2,0,3,3,0,2,0,0,5,0
"35",3,0,2,4,0,2,0,0,5,0
"36",0,0,0,1,1,1,0,3,4,2
"37",0,0,0,0,0,0,0,2,0,2
"38",0,0,0,1,0,1,0,0,1,0
"39",0,0,0,1,1,1,0,3,4,2
"40",0,0,0,1,1,1,0,3,4,2
"41",0,0,0,0,0,0,0,1,0,1
"42",0,0,0,1,1,1,0,3,4,2
"43",0,0,0,1,1,1,0,3,4,2
"44",0,0,0,1,1,1,0,3,4,2
"45",0,0,0,0,0,0,0,0,1,0
"46",0,1,0,0,0,0,0,0,1,0
"47",0,0,0,1,0,0,0,0,0,1
"48",0,0,0,1,1,1,0,3,4,2
"49",0,0,0,0,0,0,0,0,0,0
"50",0,1,0,1,1,0,0,1,1,3
"51",2,0,2,3,0,1,0,0,4,0
"52",2,0,2,3,0,1,0,0,4,0
"53",0,1,1,0,1,1,1,1,2,3
"54",3,0,2,4,0,2,0,0,5,0
"55",0,0,0,1,1,1,0,3,4,2
"56",0,0,0,1,0,0,0,0,0,1
"57",3,1,1,2,0,2,0,0,3,0
"58",0,0,0,1,1,1,0,3,4,2
"59",1,0,0,1,0,1,0,0,2,1
"60",0,0,0,1,0,0,0,0,0,1
"61",0,0,0,1,1,1,0,3,4,2
"62",0,0,0,1,0,1,0,2,1,2
"63",0,1,0,1,1,0,0,1,1,3
"64",0,0,0,1,0,1,0,2,1,2
"65",0,1,0,1,0,0,0,2,1,1
"66",0,0,0,1,0,0,0,0,0,1
"67",0,0,0,1,0,0,0,0,0,1
"68",0,2,0,2,1,0,1,2,3,1
"69",0,0,0,1,1,1,0,3,4,2
"70",0,1,0,1,1,0,0,1,1,3
"71",0,0,0,1,1,1,0,3,3,2
"72",0,0,0,1,0,0,0,0,0,1
"73",0,0,0,1,0,1,0,2,1,2
"74",0,0,0,0,0,0,0,0,0,1
"75",0,1,0,1,1,0,0,1,1,3
"76",0,0,0,1,1,1,0,3,4,2
"77",0,0,0,0,2,0,0,0,0,2
"78",0,0,0,1,1,1,0,3,4,2
"79",1,0,1,1,0,0,0,0,1,0
"80",0,0,0,1,1,1,0,3,4,2
"81",0,1,0,1,2,0,0,2,0,3
"82",3,2,2,1,0,1,0,0,3,1
"83",0,0,0,1,0,0,0,0,0,1
"84",0,0,0,1,0,0,0,0,2,1
"85",0,0,0,1,0,0,0,2,2,1
"86",1,0,0,1,0,1,0,0,3,0
"87",0,0,0,1,0,0,0,1,1,1
"88",1,0,1,2,0,2,0,2,6,3
"89",1,0,0,1,0,1,0,0,3,0
"90",0,0,0,1,1,1,0,3,4,2
"91",0,0,0,0,0,0,0,0,1,0
"92",0,1,0,1,1,0,0,1,1,3
"93",0,0,0,0,0,0,0,1,0,1
"94",0,0,0,1,0,0,0,0,0,1
"95",0,0,0,0,0,1,0,2,3,1
"96",0,1,0,1,1,0,0,1,1,3
"97",0,1,0,0,0,0,0,0,1,0
"98",0,2,0,2,1,0,1,2,3,1
"99",2,2,2,3,1,1,1,3,4,5
"100",1,0,0,1,0,1,1,1,2,1
"101",0,2,0,2,1,0,1,2,3,1
"102",3,0,1,4,0,2,0,1,4,4
"103",1,1,1,0,1,0,0,1,1,2
"104",0,0,0,0,0,0,0,1,0,1
"105",0,0,0,1,1,1,0,3,4,2
"106",0,0,0,1,0,0,0,0,0,1
"107",1,0,1,1,0,1,0,1,2,1
"108",0,0,0,1,1,1,0,3,4,2
"109",0,0,0,0,0,0,0,0,1,1
"110",0,1,0,1,1,0,0,1,1,3
"111",1,0,0,0,0,0,0,0,2,0
"112",0,0,0,0,0,0,0,0,1,1
"113",1,0,0,0,0,1,0,1,2,1
"114",0,0,0,0,1,0,1,2,0,1
"115",0,2,0,2,1,0,1,2,3,1
"116",2,0,2,2,0,2,0,0,4,0
"117",0,2,0,2,1,0,1,2,3,1
"118",0,2,0,2,1,0,1,2,3,1
"119",0,1,0,0,0,0,0,0,1,0
"120",0,0,0,1,1,1,0,3,4,2
"121",0,0,0,0,0,0,0,2,0,2
"122",2,0,2,1,0,2,0,2,3,4
"123",2,0,2,2,0,2,0,0,4,0
"124",5,0,0,3,0,2,0,0,5,0
"125",0,0,0,0,0,0,0,0,0,0
"126",2,0,2,3,0,1,0,2,7,1
"127",0,0,0,0,0,0,0,0,0,0
"128",0,0,0,1,1,1,0,3,4,2
"129",0,0,0,1,0,0,0,1,2,2
"130",1,0,0,1,0,0,0,0,2,0
"131",0,1,0,1,1,0,0,1,1,3
"132",0,2,0,1,2,0,1,1,2,3
"133",0,0,0,0,0,1,0,2,2,0
"134",0,1,0,0,0,0,0,1,0,1
"135",1,0,2,1,0,4,0,1,4,1
"136",0,0,0,0,0,0,0,0,1,1
"137",0,0,1,1,0,1,0,1,2,2
"138",0,1,0,0,1,0,0,2,0,3
"139",0,0,1,1,0,1,0,1,2,2
"140",1,0,0,1,0,1,0,0,3,0
"141",0,0,0,0,0,0,0,1,2,2
"142",0,0,0,1,1,1,0,3,4,2
"143",0,0,0,1,0,0,0,2,2,1
"144",0,0,0,0,0,0,0,0,1,1
"145",0,0,0,1,0,0,0,0,0,1
"146",0,2,0,2,1,0,1,2,3,1
"147",0,1,0,1,1,0,0,1,1,3
"148",0,0,0,0,0,0,0,0,1,1
"149",0,1,0,1,1,0,0,1,1,3
"150",1,1,0,1,1,0,0,2,3,2
"151",0,0,0,1,0,0,0,0,0,1
"152",0,1,0,1,1,0,0,1,1,3
"153",1,0,0,0,0,0,0,0,2,0
"154",0,0,0,1,1,1,0,3,4,2
"155",0,0,0,1,0,0,0,0,0,1
"156",0,1,0,1,1,0,0,1,1,3
"157",0,0,0,0,0,0,0,1,0,1
"158",0,2,0,2,1,0,1,2,3,1
"159",0,0,0,0,0,0,0,1,0,2
"160",0,1,0,1,1,0,0,1,1,3
"161",0,2,0,2,1,0,1,2,3,1
"162",0,0,0,0,0,0,0,0,1,1
"163",1,0,0,0,0,0,0,0,2,0
"164",0,0,0,1,1,1,0,3,4,2
"165",2,0,1,1,0,1,0,0,3,1
"166",0,0,0,1,0,0,0,0,0,1
"167",0,1,0,1,1,0,0,1,1,3
"168",0,0,0,1,1,1,0,3,4,2
"169",1,0,0,2,0,1,0,2,4,1
"170",0,1,0,0,0,0,0,0,1,0
"171",0,0,0,1,1,1,0,3,4,2
"172",2,0,0,2,0,0,0,2,5,3
"173",0,0,0,0,0,0,0,0,0,0
