"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"1",0,0,0,0,0,0,0,0,0,1
"2",0,0,0,0,0,0,0,0,0,0
"3",0,1,0,0,1,2,1,2,2,2
"4",0,1,0,0,1,0,1,1,0,1
"5",0,0,0,0,0,0,0,0,0,0
"6",0,1,0,0,0,1,1,0,1,1
"7",0,0,0,0,0,0,0,0,1,0
"8",0,0,0,0,0,0,0,0,1,0
"9",0,1,0,0,0,0,0,0,0,1
"10",0,0,0,0,0,0,0,0,1,0
"11",0,0,0,0,0,0,0,0,0,2
"12",0,2,0,0,1,0,0,0,0,1
"13",0,1,1,0,0,0,0,0,1,0
"14",0,0,0,0,0,0,0,0,0,0
"15",1,3,1,3,3,1,0,3,2,4
"16",0,1,0,0,1,2,1,2,2,2
"17",2,1,0,1,1,0,1,3,3,2
"18",0,0,0,0,0,0,0,0,1,0
"19",0,0,0,0,0,0,0,0,0,0
"20",0,2,0,0,0,0,0,1,0,1
"21",0,0,0,0,0,1,0,1,1,1
"22",0,1,0,0,1,0,0,1,0,1
"23",2,1,0,1,1,0,1,3,3,2
"24",0,0,1,0,0,1,0,0,1,1
"25",0,1,0,0,1,0,0,1,0,1
"26",0,1,0,0,0,0,0,0,0,1
"27",0,0,0,0,0,0,0,0,1,0
"28",1,0,1,0,0,0,0,1,1,1
"29",0,1,0,0,1,2,1,2,2,2
"30",0,1,0,0,1,2,1,2,2,2
"31",0,0,0,0,0,0,0,0,0,0
"32",0,0,0,0,0,0,0,0,1,0
"33",0,0,0,0,0,0,0,0,0,0
"34",0,0,0,0,0,0,0,0,1,0
"35",0,0,0,0,0,0,0,0,0,0
"36",0,1,0,1,1,0,0,1,0,1
"37",0,0,0,0,0,0,0,0,1,0
"38",0,1,0,0,0,0,0,0,0,0
"39",0,0,0,0,0,0,0,0,1,0
"40",1,0,0,1,0,0,0,0,2,1
"41",2,1,0,1,1,0,1,3,3,2
"42",1,0,1,0,0,0,0,0,1,0
"43",0,0,0,0,0,0,0,0,1,0
"44",0,1,0,0,0,0,0,1,0,1
"45",0,1,0,0,1,2,1,2,2,2
"46",0,1,0,0,1,2,1,2,2,2
"47",0,0,0,0,0,0,0,0,0,0
"48",0,1,0,0,1,0,1,1,0,1
"49",1,1,2,2,1,2,0,0,2,1
"50",0,0,0,0,0,0,0,0,1,0
"51",0,0,0,0,0,0,0,0,1,0
"52",0,0,0,1,0,1,0,0,1,0
"53",0,0,0,0,0,0,0,0,0,0
"54",0,0,0,0,0,0,0,0,0,0
"55",0,0,0,0,0,1,0,1,1,1
"56",1,0,0,1,2,1,0,2,2,3
"57",0,3,0,0,2,0,3,3,0,3
"58",0,1,0,2,1,1,0,0,3,2
"59",0,3,0,0,2,0,3,3,0,3
"60",0,0,0,0,0,0,0,0,1,0
"61",1,1,0,0,1,2,0,1,2,2
"62",0,3,0,0,2,0,3,3,0,3
"63",0,3,0,0,2,0,3,3,0,3
"64",0,0,0,0,0,1,0,1,1,1
"65",0,3,0,0,2,0,3,3,0,3
"66",0,3,0,0,2,0,3,3,0,3
"67",0,0,0,0,0,0,0,0,0,1
"68",0,3,0,0,2,0,3,3,0,3
"69",0,3,0,0,2,0,3,3,0,3
"70",0,0,0,0,0,0,0,0,0,0
"71",0,0,0,0,2,1,0,1,3,1
"72",0,2,0,0,0,0,0,0,0,0
"73",0,3,0,0,2,0,3,3,0,3
"74",1,0,1,1,0,1,0,0,1,1
"75",1,0,1,1,0,1,0,0,1,1
"76",1,0,0,1,0,1,0,0,1,0
"77",0,0,0,0,0,0,0,0,0,1
"78",1,0,1,1,0,1,0,0,1,1
"79",0,3,0,0,2,0,3,3,0,3
"80",0,0,0,0,0,0,0,0,0,1
"81",1,0,2,1,0,1,0,0,3,0
"82",0,3,0,0,2,0,3,3,0,3
"83",0,1,0,1,0,1,0,0,1,0
"84",1,0,1,1,1,1,0,1,1,2
"85",0,1,0,0,1,2,1,2,2,2
"86",1,1,1,2,1,2,1,1,2,2
"87",0,0,0,0,0,0,0,0,0,1
"88",0,0,0,0,0,0,0,0,1,0
"89",0,1,0,1,0,1,0,0,1,0
"90",0,3,0,0,2,0,3,3,0,3
"91",0,0,0,0,0,0,0,0,0,0
"92",0,0,0,0,0,0,0,0,0,1
"93",0,0,0,1,0,1,0,0,1,0
"94",0,0,0,0,0,0,0,0,1,0
"95",0,0,0,0,0,0,0,0,0,0
"96",0,0,0,0,0,0,0,0,0,1
"97",0,0,0,0,0,0,0,0,0,0
"98",0,0,0,1,0,0,0,0,1,1
"99",0,0,0,0,0,0,0,0,1,0
"100",0,3,0,0,2,0,3,3,0,3
"101",0,0,0,0,0,0,0,0,1,0
"102",0,3,0,0,2,0,3,3,0,3
"103",1,0,0,0,0,0,0,0,2,0
"104",0,0,0,0,0,0,0,0,2,0
"105",1,1,1,1,0,1,0,0,1,0
"106",0,3,0,0,2,0,3,3,0,3
"107",0,0,0,0,0,0,0,0,0,0
"108",0,0,0,0,0,0,0,0,1,0
"109",0,1,0,1,1,0,0,1,0,1
"110",0,0,0,0,0,0,0,0,0,1
"111",0,3,0,0,2,0,3,3,0,3
"112",0,0,1,0,0,0,0,0,1,0
"113",2,0,2,1,0,1,0,0,3,0
"114",0,0,0,0,1,0,0,1,1,1
"115",0,0,0,0,0,0,0,0,1,0
"116",0,0,0,0,0,0,0,1,0,1
"117",0,0,0,0,0,0,0,0,1,0
"118",0,1,0,0,1,0,0,1,0,1
"119",0,0,0,0,0,0,0,0,1,0
"120",0,1,0,0,1,2,1,2,2,2
"121",0,0,0,0,0,0,0,0,0,0
"122",0,0,0,0,0,0,0,0,0,0
"123",0,0,0,0,0,0,0,0,0,1
"124",0,0,0,0,0,0,0,1,1,0
"125",0,1,0,0,0,0,0,1,0,2
"126",0,2,0,0,1,0,0,1,0,1
"127",0,0,0,0,0,0,0,0,0,0
"128",0,0,0,0,0,0,0,1,0,1
"129",0,3,0,0,2,0,3,3,0,3
"130",0,1,0,0,0,0,0,0,0,0
"131",1,1,0,3,0,3,0,0,3,0
"132",0,3,0,0,2,0,2,3,0,3
"133",1,1,1,2,1,1,0,1,1,2
"134",0,3,0,0,2,0,2,3,0,3
"135",1,0,1,1,0,0,0,0,1,0
"136",0,3,0,0,2,0,2,3,0,3
"137",0,0,0,0,0,0,0,1,0,1
"138",0,0,0,0,1,0,1,0,0,1
"139",0,0,0,0,0,0,0,1,0,1
"140",0,0,0,0,0,0,0,1,0,1
"141",0,0,0,0,0,0,0,0,1,0
"142",0,0,0,0,0,0,0,1,0,1
"143",0,1,0,0,1,2,1,2,2,2
"144",0,0,0,0,0,0,0,1,0,1
"145",0,0,0,0,0,0,0,1,0,1
"146",0,0,0,0,0,0,0,1,0,1
"147",0,0,0,1,1,1,1,2,2,2
"148",0,1,0,0,1,0,1,0,0,1
"149",0,3,0,0,2,0,2,3,0,3
"150",0,0,0,0,0,0,0,1,0,1
"151",0,2,0,0,0,0,0,0,0,0
"152",0,0,0,0,0,0,0,0,0,0
"153",0,0,0,0,0,0,0,0,1,0
"154",0,0,1,0,1,1,0,1,1,1
"155",0,0,0,0,0,0,0,0,1,0
"156",0,0,0,0,0,0,0,0,0,0
"157",0,3,0,0,2,0,2,3,0,3
"158",0,0,0,1,0,0,0,1,1,1
"159",0,2,0,0,0,0,0,0,0,0
"160",0,3,0,0,1,0,0,0,0,2
"161",0,3,0,0,2,0,2,3,0,3
"162",0,0,0,1,0,1,0,0,1,0
"163",1,0,1,0,0,0,0,0,1,0
"164",0,0,0,0,0,0,0,0,1,0
"165",0,3,0,0,2,0,2,3,0,3
"166",0,3,0,0,2,0,2,3,0,3
"167",0,1,0,0,0,1,0,0,0,1
"168",0,0,0,0,0,0,0,1,0,0
"169",0,0,0,0,0,0,0,0,0,0
"170",0,2,0,0,0,0,0,0,0,0
"171",0,1,0,0,1,0,1,2,1,2
"172",0,0,0,0,0,0,0,0,1,0
"173",0,2,0,0,0,0,0,0,0,0
"174",0,0,0,0,0,0,0,1,0,1
"175",0,0,0,0,0,0,0,0,0,1
"176",0,2,0,0,2,0,2,1,0,2
"177",0,1,0,0,0,1,0,2,1,2
"178",0,0,0,0,0,0,0,0,0,0
"179",0,0,0,0,0,0,0,1,0,1
"180",1,0,1,1,0,2,0,0,3,0
"181",0,1,0,0,0,0,0,0,0,0
"182",0,0,0,0,0,0,0,1,0,1
"183",0,0,0,0,1,0,0,0,0,2
"184",0,0,0,0,0,0,0,0,0,1
"185",0,2,0,0,0,0,0,0,0,0
"186",0,2,0,0,1,0,1,1,0,4
"187",0,1,0,0,1,0,0,0,0,1
"188",0,0,0,0,0,0,0,1,0,1
"189",1,2,1,0,1,0,1,2,3,5
"190",0,0,0,0,0,0,0,0,0,1
"191",0,0,0,0,0,0,0,1,0,1
"192",0,3,0,0,2,0,2,3,0,3
"193",0,0,0,0,0,0,0,0,0,0
"194",0,0,0,0,0,0,0,0,0,0
"195",0,0,0,0,0,0,0,0,0,0
"196",0,1,0,0,0,0,0,0,0,1
"197",0,0,0,0,0,0,0,0,0,1
"198",0,0,0,2,0,0,0,0,0,0
"199",0,0,0,0,0,0,0,1,0,1
"200",0,2,0,1,0,0,0,1,1,2
"201",0,1,0,1,1,0,0,1,1,2
"202",0,0,0,2,0,0,0,0,0,0
"203",0,0,0,0,0,1,0,1,1,1
"204",0,1,0,0,1,0,0,1,0,2
"205",0,1,0,1,0,1,0,0,1,1
"206",0,2,0,1,2,0,2,1,1,2
"207",0,0,0,0,1,0,0,0,2,3
"208",0,0,0,0,0,0,0,1,0,2
"209",0,0,0,0,0,0,0,0,0,2
"210",0,1,0,0,0,0,0,1,0,2
"211",0,0,0,0,0,0,0,1,0,2
"212",0,0,0,0,0,0,0,1,0,2
"213",0,0,0,0,0,0,0,0,0,1
"214",1,1,0,0,1,0,1,2,0,1
"215",0,2,1,0,1,0,1,1,0,2
"216",0,1,0,0,0,0,0,2,0,2
"217",0,0,0,0,0,0,0,0,0,1
"218",0,0,0,0,0,0,0,0,2,0
"219",0,0,0,0,0,0,0,0,0,0
"220",0,0,0,0,0,0,0,0,0,1
"221",0,2,0,0,1,0,0,2,0,1
"222",0,1,0,0,0,0,0,0,0,0
"223",0,0,0,0,0,0,0,0,0,1
"224",0,0,0,0,0,0,0,0,0,0
"225",0,0,0,0,0,0,0,0,0,0
"226",0,3,0,0,2,0,2,3,0,3
"227",0,0,0,0,0,0,0,1,0,2
"228",0,3,0,0,2,0,2,3,0,3
"229",0,3,0,0,2,0,2,3,0,3
"230",0,3,0,0,2,0,2,3,0,3
"231",0,3,0,0,2,0,2,3,0,3
"232",0,0,0,0,0,0,0,0,0,0
"233",0,3,0,0,2,0,2,3,0,3
"234",0,3,0,0,2,0,2,3,0,3
"235",0,0,0,0,0,0,0,1,0,2
"236",2,1,0,1,1,0,1,3,3,2
